"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|A0FGR8|ESYT2_HUMAN",31335740,75383069,85726455,53292780,67902939,72892857,83009407.5,86309308,61883464,37026158,45009891,56895740,2822055,-5780396,15584100,11773946,36357113,34223210
"sp|A0JNW5|UH1BL_HUMAN",37712680,30325838.2320193,31733290.338833,28261100,26876951.0429684,26403425,25347163.5,27713853.3333333,24544536.6666667,24819798.3170709,25832286.6666667,25978230,14285752.067646,13422566.1555616,11234447.067646,10162417.067646,10418424.6555616,7582797.06764596
"sp|A0MZ66|SHOT1_HUMAN",57558819.1245106,72452181.1101827,72319973,68687314.25,67873981.7274036,70011209.4573171,64786608,63836643.8570872,67465095.4321041,66023148.25,67073292,63297152,54423313.2185009,55540512.8475777,54198810.9888289,59647512.2132547,55333680.2988442,47887854.9540895
"sp|A1L390|PKHG3_HUMAN",46274755,57263178,57563458,52318658,53317378,50007183,42461153.5,40514808,40673728,39237443,40147948,39352758,20418716.5,29928832,29990772,28538252,25535412,16336289.5
"sp|A1X283|SPD2B_HUMAN",20961025,14102309,13956827,11745020,9422793,9434377,8651060.5,7843025,7084898,7776931,7175485,7522797,NA,NA,NA,NA,NA,NA
"sp|A2A2Y4|FRMD3_HUMAN",35806120,38895311.5,45142096.5,39292675,38067255,37480450,31702959.5,30700165,31891026.5,31670710,32552235.5,35492007.5,21977205,23712032.5,25047698,23642960,29906553,24273797
"sp|A6ND36|FA83G_HUMAN",31841555,26878005,23616280,23277590,20652360,20331635,18005815.5,17699535,18503415,19157070,20010360,18074325,8550715,269489.561703101,1508214,4682765,4761280.4382969,5313085
"sp|A6NI28|RHG42_HUMAN",22206212,19753515,22460080,19692430,17483640,17460275,17164885.5,15065540,14504180,12899525,14629260,15325840,616536,-416183,-578110,4015050,-2049110,-2457960
"sp|A7E2V4|ZSWM8_HUMAN",24030317.5,69101315.5,91496778,108230556.5,105653840,113996769,100295230.5,93990998.5756543,99279995,92623643.5756543,94389078.5756543,106422408.575654,-80863480.4243457,-76865991.4243457,NA,NA,NA,NA
"sp|A7KAX9|RHG32_HUMAN",89499750,93895660,91180010,86263260,82704330,83623485,86649085.5,87074710,84797090,85273885,84020930,96384140,69992405,67372830,66762670,74485770,73547600,76896990
"sp|O00159|MYO1C_HUMAN",29360500,23641803.75,23034380,21855793.75,19824835,18598138.75,11203781.25,18846960,18980393.75,16960871.25,14919813.75,15845843.75,11317091.25,9917836.25,6130816.25,10058136.25,10246036.25,6039606.25
"sp|O00161|SNP23_HUMAN",104689810,125185150,129066900,122430310,132907510,119885075,123180815.5,124995430,124733980,127291665,128105580,130654000,99997345,116147220,118051920,117371100,117802100,123388020
"sp|O00178|GTPB1_HUMAN",110890028,29853412,26510619.8813803,24830681.5,25580097.5,137610333.5,24870399,21566347,20524250.1186197,22648345.1186197,NA,21523293.5,14243155.1186197,10297370.1186197,12097067,9261426.5,11228280.1186197,15332140.1186197
"sp|O00193|SMAP_HUMAN",1051774131.48605,1508860119.82529,1520181958.96327,1501714431.33305,1576206591.66667,1566508767,1559054878.83333,1653775723.33333,1603574324,1632211628.33333,1656001873.33333,1647616253.33333,1527211649.34552,1598478590.03865,1607342877.1712,1610954857.00482,1473060668.45664,1613358204.08784
"sp|O00203|AP3B1_HUMAN",308575326.81519,355343192.099192,355842077.635547,355241655.046241,354083066.791965,358206930.922427,362398872.75,364941810.25,356220660.291709,357424445,363265281.412322,354721067.5,348841939.571576,349482655.302977,348250843.154159,349656406.644418,347749729.173663,349259424.564884
"sp|O00232|PSD12_HUMAN",24016106,18018006,19251920,17292120,18185350,16773605,NA,17605950,NA,NA,8659379,19566270,NA,1080080,NA,414930,NA,NA
"sp|O00257|CBX4_HUMAN",35848410,32198470,30122110,26634255,27644500,26739595,25657670.5,26228195,24278875,24014760,26463405,26063960,15260340,11818330,9340800,10345853.3417009,12394753.3417009,12417873.3417009
"sp|O00264|PGRC1_HUMAN",1639323690.59197,4858113057.33334,4734051654.72636,5314866817.33334,5457113452,5513862351,5558379358.83333,5634838185.54215,5555926636.66667,5635253192.06727,5628645594.99104,5610630105.70859,5028549245,4914519731.0108,4911789932.10785,4914963982.71879,4934294383.33334,5271336060
"sp|O00299|CLIC1_HUMAN",82342360,62264621,89722700,79379075,89676060,90718030,98182990.5,94481164.9999999,104619665,92364250,107494210,103091765,94478260,77486920,82059005,77997370,82451105,96088455
"sp|O00401|WASL_HUMAN",80995778.9170393,144717308.917039,154746388.917039,154233608.917039,151954118.917039,155864213.917039,145744994.417039,115517920,125698975,121333365,105739865,127467560,153099095,144600120,142192940,153331710,156142310,156074280
"sp|O00410|IPO5_HUMAN",114775855.408439,37356750,101662920.5,89281235,105860750,104876220,73559380.5,51713274.5915613,61021975,40029750,83583960,60836520,49813569.5915613,64052500,25809834.5915613,16887660,22815244.5915613,1138320
"sp|O00418|EF2K_HUMAN",67796560,258804079,288533626,284292357,298073305,316971837,324247031.5,312115730,308599580,305488035,313361956,309468728,256152502,298388922,25421157,300561318,325882181,324815450
"sp|O00429|DNM1L_HUMAN",448720877.789759,178042323.333333,196489790,381585596.666667,163190640,192942101.666667,158300614.166667,404933176.666667,188751017,429844957.627068,411850383,158372968,906943180.802734,964075225.802734,939544185.802734,642425116.774299,643064191.774299,1066837825.80273
"sp|O00443|P3C2A_HUMAN",50307742.7333495,39054959,36718345,35730915,36765085,34817305,31309715.5,33867960,31835045,31837235,32909895,30348040,23220295,18210345,19024300,18443225,18273540,15680975
"sp|O00472|ELL2_HUMAN",59463646,52741188,51252482,53989946,49856954,50216641,47576485.5,50340830,47321758,50674659,52840503,51570450,36810375,34274284,35513052,26240610,29886050,31518244
"sp|O00499|BIN1_HUMAN",294741658.589948,322934646.656536,357333517,375252917.5,387143480.535394,356010590.317572,380980962.739571,359000271.10264,394963982.040735,397276612.630788,366063002.145601,396126321.660179,353036484,339380152.5,319336349.025133,352868227.179017,283794913.445197,350907097.258682
"sp|O00505|IMA4_HUMAN",687955650.382904,584741974.040776,386722268.308548,406967854.808548,510385498.308548,523557436.808548,718190855.5,729399796.666667,720159050,716452910.536667,693550386.666667,584033327.53536,761347773.308548,734449773.333333,725401106.666667,761630228.308547,812244505.808548,906604218.308548
"sp|O00512|BCL9_HUMAN",72630003.3333333,69546528.5363289,71635760,69561476.9519501,65085839.7509919,67159211.6666667,59481936.3068949,60902834.1218891,58730881.1526043,58132325,62768417.6149232,60240892.6057063,42610213,48667730,46382620.8587335,43720484.6666667,45007336.6666667,45422576.6666667
"sp|O00566|MPP10_HUMAN",NA,NA,-51900416.3647465,524450.635253519,25538483.5466368,32932538.5466368,135524032.065808,137047720,128077016.666667,146705291.666667,164224670,173886530,147469317.074851,144188103.546637,136379063.333333,147280226.666667,152804490,142074700
"sp|O00567|NOP56_HUMAN",69268944.9999982,792977045.000001,1709491455.5,2064881290,3174165036.5,664068070.031083,1571782317.5,2599022885,2078319080,2133443325,2817394520,3007095455,3823904966.03108,3129541461.03108,3790073071.03108,3633531951.03108,1888482930,2033210981.03108
"sp|O00571|DDX3X_HUMAN",20120567,26271544.5,25171237.5,21221772,23084294.5,19288148,28395737,15411871.0200834,12128290,11378862,11524412.5,16528680,1342267.5,-3657630.5,-2551208.97991664,-7455348.97991664,-10947091.9799166,-9213728.97991664
"sp|O00592|PODXL_HUMAN",70260570,29794150,275632110,669492370,78523920,28760349,31223635.5,13279010,NA,17135475,118857630,204259710,9862353,135842920,8694410,NA,NA,NA
"sp|O00712|NFIB_HUMAN",NA,22914490,26479030,34604880,37148620,36764515,41243835.5,37709880,33804390,36988965,41214960,42707910,NA,NA,33987100,36051850,NA,NA
"sp|O13297|CET1_YEAST",NA,NA,NA,NA,NA,NA,15665155.5,18647060,NA,15312985,NA,NA,42608895,36495160,38966380,35812520,37335150,24946750
"sp|O13563|RPN13_YEAST",NA,91512363,-979531825.927011,-978218705.927012,89159451.4999994,134996201.999999,706985240.5,848938815,858370375,1011308432,970157633,894986132,1776272945,1774779749,1799790675,2127007939.5,1996286539,2663314676
"sp|O14497|ARI1A_HUMAN",77772287.4613981,75615138.3152015,77275472.8805609,77373105.1491805,73553058.1702383,74022562.5,72586680.911103,72319787.66876,70623804.6576692,69808530.2467585,70555485.4258544,69435862.5,60338927.8536117,55882778.0185051,46420048.5930266,54801265.4835957,50572116.2138942,61902525.4835957
"sp|O14523|C2C2L_HUMAN",28665319.5,24548626.7532563,29578701.2467437,24998109,27224742.5,19082496,20830677.5,19500703.5,20559654,20626376,19967496.5,19816478,16054125,5208101.24674372,4903591.24674372,4533292.5,8875935.00000001,11658355
"sp|O14544|SOCS6_HUMAN",34946690,26975950,22983620,22417050,20676750,20868435,19876295.5,21061120,NA,19073035,18274960,17807080,10771405,9491920,9479340,8196160,5998300,6588510
"sp|O14578|CTRO_HUMAN",61237329.1633013,55340613.5756872,55082843.6666667,54937248.3333334,55814470.0989611,57103733.6666667,52241755.5211126,54251583.3333333,51159713.8081244,53742638.3333333,48618696.6666667,49631081.977604,39672005,44678720.3878608,36663448.8784133,35748233.3333333,38264650,38731373.3333333
"sp|O14617|AP3D1_HUMAN",36099880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11526925,12209900,15222660,13616310,14534360,8859070
"sp|O14646|CHD1_HUMAN",73570737.6038668,34988979.665118,67520773.5357064,63469197.5160056,59959405.8421671,63624316.1795583,59093253,66632375.0227525,55800812.53062,60922521.5,61313680.25,62725982.75,58434195.6285952,61429637.8094549,55986434.7788839,56800134.8694379,56691023.9741941,58895696.9074592
"sp|O14647|CHD2_HUMAN",49030985.5132755,17962057.3430608,21954437.3430608,36695651.4281682,29603087.3430607,33259941.4281681,40312280.4838254,38485480.6666667,38014413.3333333,38772476.3333333,40167073.3333334,33738445.9521163,28048526.4281681,23770523.4030377,27951471.4281681,12845496.4281682,28985386.4281681,28029401.4281681
"sp|O14672|ADA10_HUMAN",35968660,28336080,28538760,23392700,25057270,23661455,23174435.5,23417860,23000060,9797793,22803540,21805680,9282315,10052970,9794870,6249080,7862310,11582450
"sp|O14686|KMT2D_HUMAN",46035018.6585641,47281859.022368,45548569.4699569,42836887.9070842,42343682.6193107,44344912.1091514,41104624.3458613,41986141.4885677,39292113.4863576,38881071.6000837,39096376.5807871,38384028.7389837,26895146.5671359,27692981.1789052,26808643.7711483,26671369.406556,26391460.8995121,27265718.940848
"sp|O14713|ITBP1_HUMAN",19517008,14179513,49473292,18494108,48824640,38624303,6883248.6,74406973,56395635,53227472,29327011,55223336,101611975,104385770,5699190,144469130,88649660,72808800
"sp|O14737|PDCD5_HUMAN",332247140,388806870,368054650,404212070,384878480,448425075,371098455.5,392473350,412179940,417409795,433551630,458258460,457597445,421612820,408077590,420526110,430256660,448433330
"sp|O14757|CHK1_HUMAN",27692861.3333333,35861206.3060079,43341468.3855258,30108345.7859454,43507887.86237,36063478.0623586,27550685.5,27486963.3333333,17136926.6666667,25067375,24987433.3333333,31418373.3333333,17529150.4688169,NA,2379353,4686602.76559156,5519199.87203846,NA
"sp|O14874|BCKD_HUMAN",43332809.5,31526553,34529415,35652376,27579136,30707075,31932552,37461850,32214140,23450567.5718789,19282247,27787428.5,8920160.00000001,12029687.4281211,NA,NA,9283527.42812105,10028437.4281211
"sp|O14917|PCD17_HUMAN",38034015,37776065,39399910,34623645,41791520,34594920,31786230.5,33187675,33033105,33361755,37514676.9518953,38837765,33253789,21922094.5,18094561,20340469.9518953,28263675,13406579.9518953
"sp|O14929|HAT1_HUMAN",36679361.2743008,31889511.2743008,29961001.2743008,28836161.2743008,25800511.2743008,28042806.2743008,26188205.5,23260380,23363622.5,24147910,25862870,26466165,NA,25776718.7256992,12932421.2743008,NA,NA,9603501.2743008
"sp|O14974|MYPT1_HUMAN",287773519.451087,294686440.686536,308841672.441996,297235095.869783,302694721.285771,301829557.54269,287841693.833333,294598718.347139,294558841.666667,293731416.502108,294559867.520741,292620537.631788,272972283.449477,264962023.493778,262789685.199434,264526427.014052,262433556.733175,262351031.022572
"sp|O14979|HNRDL_HUMAN",32897540,28561560,24879650,32306751,34241390,34156785,20610745.5,32783910,19997060,18803825,19984320,15908020,5229735,8327890,7512250,6607030,5547080,3221950
"sp|O14980|XPO1_HUMAN",1014451780,22420614.9999998,24355165.0000001,1151977116.5,26896492.9999998,1140547015,983482435.5,1000718570,1056972580,1025093625,1127322046.00597,1011811863.99403,1006356361.00597,1013939136.00597,NA,1018811230,987026190,1067024165
"sp|O15013|ARHGA_HUMAN",26887980,18736406,23141000,NA,15838690,17929336,13919065.5,14098850,11240690,12226775,12220700,12462210,NA,1109850,3641030,-405750,3847220,-2450170
"sp|O15014|ZN609_HUMAN",86856994.8409359,90155023.0781192,89523958.045622,86404887.0726762,86962559.2012587,89381676.7305395,84171803.4210811,85087621.2083908,88246080.8494142,85244375.9652607,87690802.2599399,83645290.3,70605572.1520541,73345647.4562591,71370873.4370507,70802817.5793592,77124660.1567354,77599008.0080355
"sp|O15027|SC16A_HUMAN",245099233.611026,269880298.673088,275019476.666667,265200221.697989,218010186.19263,224624335.66697,265838700.881859,285907380,231788270.758025,248406105,254709240,215007002.960826,232094935,235048163.333333,196392203.508171,241191886.666667,245973260.017488,230995607.009416
"sp|O15042|SR140_HUMAN",41130189.5,64834954.5,64973501,64664230,64575859.5,63125943.5,58175640.5,64364990,58582510.0000001,59835725,61014750,61438090,54158545,56534995,51688290,56943845,58985990,59661240
"sp|O15047|SET1A_HUMAN",51537530,45276670,47350390,46493950,46328630,40886215,42406815.5,40979850,39685740,45371725,49361910,46958620,31723175,28471290,25945850,30430510,20779220,27161100
"sp|O15061|SYNEM_HUMAN",23367111,17827578,16417925,15261901,11496841,11719781,9919984.5,9877836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O15075|DCLK1_HUMAN",52784009.75,46724906.5087904,46195362.7768498,43492132.75,43975289.3953275,41966779.25,38481623.9963942,37792877.6133225,38339503.280433,37959918.0238274,39533317.955808,38800710.5778302,28681939.138593,27439275.1364196,26965008.1262065,28391679.307482,24921268.711706,27119815.6238276
"sp|O15144|ARPC2_HUMAN",49616460,17214715,14554736,32971200,31887570,14513445,30597285.5,33991180,NA,9504755,31143810,33439480,24850085,27366310,26182430,21681180,17677360,19406050
"sp|O15164|TIF1A_HUMAN",40211120.2301603,36745889.3623624,34480212.5,32935135.162185,31512737.5,32922259.6170736,25666777.9182505,26553907.0169489,27589659.6371382,25401127.5,25311946.5192491,25929427.9547654,16477082.1142971,13765695,15269852.9538921,15007312.5,11432606.769928,12316459.4329022
"sp|O15169|AXIN1_HUMAN",NA,NA,35283300,30619580,29264440,30573875,24463555.5,23711560,18401600,25348805,21190510,22826370,3372765,1252390,2216730,NA,-2549414,NA
"sp|O15173|PGRC2_HUMAN",868523429.263424,882438607.112717,916983839.828351,973966660.666667,1000128513.33333,1053824571.33333,1013706562.83333,968740251.480199,1071654640.33333,967994487.308879,1090538379,1090212890,1056073418.33333,1104909874,1029650271.33333,1025801886.66667,1095422096.66667,1085043390.43169
"sp|O15194|CTDSL_HUMAN",33485330,29473410,24426110,22633320,20178810,20137475,6595231.5,5282218,NA,NA,NA,NA,7768115,9193400,3724560,4553490,3364650,2914530
"sp|O15234|CASC3_HUMAN",100752914,102778916.045095,97274454.5,102672190.5,96349280.5727183,95968665.1076882,97053271.4992657,93434081.7373574,101011009.75,100339832.973567,102116587.334095,94998378.3781095,88599156.6506525,90037691.5424595,89460014.9763484,84119634.7015118,90585345,94561777.3340945
"sp|O15347|HMGB3_HUMAN",10846191.4373194,39011395,31748225,33909606,9265061.43731939,29939821,27567736,28514235,21848902,27213831,27552205.5,19414125,7143227,20871650.5,-5326588.5626806,9129322,-1053482.5,11881564.5
"sp|O15355|PPM1G_HUMAN",20897730,15909972,NA,14522114,NA,12887864,NA,12611320,9858094,8056790,12317030,NA,-4019209,7768890,2056170,1128710,-5467416,-4776799
"sp|O15371|EIF3D_HUMAN",NA,NA,NA,NA,NA,NA,24439835.5,51993890,96121540,29151529,28562108,61019210,67995555,96112690,53026710,37131620,103480540,75938750
"sp|O15372|EIF3H_HUMAN",1568069520.86667,1812593690.66667,1880412028.66667,1919643630,1947761851.28605,1952531105.22511,1864482906.5,1850438802,2044833244.29675,1858458990.33333,1847666555.33333,1898519392.66667,1298515699.29675,1615062992.58425,1049479394.29675,1614596411.25575,1428714264.29675,1520889584.29675
"sp|O15417|TNC18_HUMAN",53095350.4877903,48259376.8259546,60455664,42702477.4341927,55069040.0287151,74219519.1813699,61029781.9916374,66507092.2144541,48927835.6604501,50969705,61225595.4384553,59927496.4916374,46086332.4242589,38881282.5,40957905,31833118.3665472,34152350,49967431.9919513
"sp|O15427|MOT4_HUMAN",243685352.229903,165113017.5,170707823.5,157936335,175504961.5,156801535,158943185.5,158979533,153712480,158661700,152618660,243019070,117234955,122940970,132341915,129248870,131164795,148479715
"sp|O15440|MRP5_HUMAN",29996940,40590730,27220024,24428370,20578290,21474985,19712395.5,19159900,18555500,19558415,18460390,21327748,35289065,1026240,32822120,4112560,2403100,4392750
"sp|O15446|RPA34_HUMAN",-175330417.146744,139993157.533376,153941806.666667,153011786.666667,149369910,148968181.666667,137981185.5,156336663.333333,148258870.102577,155161540.683291,143467490,143246786.666667,124695009.701466,117748514.442111,121324233.283767,126992157.627001,117325205.654992,119052086.666667
"sp|O15504|NUP42_HUMAN",NA,43581224,75449650,92026320,100023690,95117625,98108715.5,101904130,100891900,95718735,92555430,99994350,36913335,71432830,48932230,67835890,73513880,69671730
"sp|O15511|ARPC5_HUMAN",26342190,NA,NA,NA,NA,NA,18269805.5,18160080,18435630,16049915,17455930,17275280,2579505,9233040,1270560,NA,7346430,-7859341
"sp|O15534|PER1_HUMAN",40015520.7509559,35597800,35641105,33913555,35665655,33197770,31458585.5,31727010,30534785,31046600,28760910,31184775,28541595,17790365,24097850,15730070,16361405,11996150
"sp|O15541|R113A_HUMAN",NA,NA,NA,NA,NA,NA,59130985.5,73393780,126045639.4,104427058,85629440,90772997,232838015,67351100,178824670,187242870,190581750,204518080
"sp|O43156|TTI1_HUMAN",38471383.2220321,42255293.2220321,27285455,35624036,43818451,33201225,37646410,37717157.5,30004945,32254440,39597640,38223835,15043620,43178636.7779679,28919456.7779679,44652056.7779679,36962916.7779679,21533786.7779679
"sp|O43159|RRP8_HUMAN",74759367.0835262,71660390.5,69710155,72126342.5,63727514.1972824,63755010.1218813,70710916.735983,62108900.5930505,59887276.0802945,65737469.3065969,61030250,63968812.5,57772407.8177395,60078388.8177395,58665508.8177396,55076141.4133718,50283754.7467051,53082577.0172401
"sp|O43164|PJA2_HUMAN",33676950.5600926,27412920,25110585,25220605,20993449.4399074,22547760,21464960.5,20813560,20135595,21686290,22617865,20533070,11012024.4399074,NA,8937469.43990739,9086169.43990739,NA,6493039.43990739
"sp|O43166|SI1L1_HUMAN",92788234.1467565,88242835.2595668,90710016.6666667,87837214.804307,85654504.7725048,86809227.9192619,87495548.0762402,85890395.444974,83426101.6666667,83540371.3751478,84251326.6666667,79401159.2002777,71877909.6835488,70602196.9175404,71985974.2410756,69241820,70769703.5015342,73471489.1499048
"sp|O43172|PRP4_HUMAN",21114774,20402610,27440109,19394740,17241390,21464192,23994135.5,16103770,13493270,15397085,12441320,13753450,NA,NA,NA,3864480,NA,NA
"sp|O43175|SERA_HUMAN",29230254.6423483,23592502.5,22183266.5,20802026,18150041,20753905,18048874.5,14199715,12899040,15766306,13526147,14170835,NA,NA,NA,NA,NA,NA
"sp|O43237|DC1L2_HUMAN",35606626,27594416.5,26213267.5,11855591.5,22630761,18802370,18423220,4981488.15285468,10902581,9821435.5,11703428.5,22208696.5,441228.5,31602528.1528547,-5340681.84714532,27994088.1528547,27247748.1528547,-8315191.84714532
"sp|O43242|PSMD3_HUMAN",30439261,24296587,24000414,14371576,21326896,17619756,18090930.5,14426279,14362473,12488225,11846013,12589381,258247,-638594,-1650731,-3992937,-4816192,-6783302
"sp|O43294|TGFI1_HUMAN",321236638.839414,321855830,325723260.292301,316462149.10112,321682056.666667,328226383.934529,323916658.833333,328723393.333333,324579253.333333,331010269.080271,340787750,332120878.685167,309020879.791196,311471046.666667,298885055.188035,311505004.301717,321169506.666667,319995269.80136
"sp|O43303|CP110_HUMAN",53626045,67062035,69418580,65930575,34174144.9999999,33978335,64908575.5,64902850,65590515,72623890,64659395,75208430,77924750,78391450,65555755,65086135,113782825,103313060
"sp|O43314|VIP2_HUMAN",61609982.5,105846915,115137960,119434973.5,110188770,116313077,137162990.5,87878115,91615610,93570950,86692210,90160570,70890482.9527133,102855117.952713,87429395,97892165,114504237.952713,117604287.952713
"sp|O43390|HNRPR_HUMAN",25135658.5680421,20801454.3333333,20490656.6666667,22650790.2505894,15495283,14878063.4040992,15302475.7982757,15103989.3244163,12542630.7982757,12295370.2982757,12556337.0479521,13992852.7982757,2779459.8380948,-1339848.77429961,3269497.72570039,3268683.72570039,-6763588.27429961,3884628.04795214
"sp|O43395|PRPF3_HUMAN",304722964.229079,301994593.333333,297065842.666667,304837670,304162006.666667,295773587.151666,295693270.230583,301209158.031149,308002333.031149,317146788.031149,308854584.723622,318629773.031149,275048278.031149,287990718.031149,287448878.031149,281360358.031149,301525948.031149,288125333.031149
"sp|O43399|TPD54_HUMAN",797551181.45227,1040207807.17721,1047264218.17721,1016913472.17721,1055598521.45968,1085528008.73617,1042673972.06823,1039633245.91766,1046999560.04389,1038350807.29056,1050451575.40331,1051798916.82943,929593680.285461,939166744.413095,936122086.535568,915312055.138485,959188924.74292,953403951.631362
"sp|O43426|SYNJ1_HUMAN",49246870,57736310,54567220,54281580,54236490,54033105,44756165.5,47980160,51603990,46718785,49415890,58327950,36776475,46876800,37054180,35722670,38348150,43833420
"sp|O43432|IF4G3_HUMAN",167964715.940143,181017439.93521,196226353.042228,205957873.759785,211964690.70342,216475643.668262,180275653,196560245,208738307.5,196276113.601877,197627608.601877,199995560,166334881.949755,190637716.653114,175246216.714056,171576038.584871,196792544.038642,180730546.165295
"sp|O43491|E41L2_HUMAN",284632923.500407,295395111.666667,299234436.333333,287760541.333333,311463352.686565,313001186.59631,276925252.040361,272337315.950755,288095578.911954,280883980.375841,284691386.666667,281974159.214899,260871445.144224,257028867.856589,257553909.651431,250741308.463366,260939055.826176,284323386.775268
"sp|O43493|TGON2_HUMAN",97500936.4853407,92098040.0559001,99307657.6666666,97756874.6666666,102508892.333333,102209432,85675558.5089571,104296883.80135,99757713.8013497,108556318.80135,93298583.8013497,76822748.8013497,102974103.80135,100604128.80135,103622898.80135,88998941.1946028,107180408.80135,87912280.164238
"sp|O43572|AKA10_HUMAN",81160905,81317090,76596035,76655535,71295645,77898375,70406635.5,66774145,68935924.9999999,68379460,69511690,66602585,54987565,55454075,55870845,57013610,56218310,51454180
"sp|O43583|DENR_HUMAN",351466362.333333,351887616,343226899.39492,347044571.333333,339942145.623836,341796795.333333,340479884.05871,337482185.654762,333790026.666667,346706016.132439,342893404.7984,343033244.666667,338315207.333333,339178109.111444,344658421,324558492.742062,354794587.443165,329582918.697163
"sp|O43663|PRC1_HUMAN",76936257.4870478,79125633.3333333,79106572,79347563.3333333,75494070,77450255,73386247.9189196,72250169.9734178,74475488.7541746,46006319.6139416,64952010.4739667,68183564.5019015,60678508.6276858,61953328.142726,59848428.4413458,56345441.4776488,55870497.6056801,50464071.4776488
"sp|O43683|BUB1_HUMAN",32149301,54404485,50176385,54896800,56368600,55940545,47588260.5,53897300,56088825,55186570,53589405,53633415,39218770,38496230,40842255,43297670,43987460,45547370
"sp|O43707|ACTN4_HUMAN",85108203.0615956,81398315.9305964,81830178.4962444,78857735.8442007,77604575.2458179,80011258.5888353,74861238.5433635,76481741.1575403,77110723.0389581,75011911.485266,75454418.3852026,79581444.3651292,62612797.6427163,62516782.9058924,55600125.5196465,64623788.1641986,61288441.5642724,54640251.1721919
"sp|O43719|HTSF1_HUMAN",764071411.552266,764957624.033272,754081839.857477,772590913.295644,765639743.567969,768954030.712896,777181433.234792,796520505.865607,803264839.062475,812466399.204326,813372358.05896,804557644.698196,799144142.512404,792361094.541852,809943718.35082,798491212.169352,806043893.666732,809485343.756736
"sp|O43741|AAKB2_HUMAN",NA,NA,34694810,35422830,35177630,41622254,62745385.5,40343080,37365460,38565045,40057910,36376810,24913745,28045740,22080900,23737170,38418880,25422290
"sp|O43747|AP1G1_HUMAN",27891950,51647600,32936312,44522880,49691540,58891375,28973435.5,42506710,18519050,16493595,35362640,27205440,23203995,16637880,17761590,17979130,5787030,6440270
"sp|O43768|ENSA_HUMAN",33679537.3621992,29438941,28342189.7751756,26618233,25049215.7623126,24478734.25,23088919.5351289,22101352.402821,22491226.7240809,21991297.25,23508880.402821,22973650.75,12155232.2193377,7924932.79153715,-12294835.2859737,-2827458.54322973,6791041.94329477,8289335.93809185
"sp|O43815|STRN_HUMAN",NA,-25378669.2007704,71833320.7992296,139989023.240394,148606873.333333,174968641.666666,194174428.833333,201545479.333333,178472136.666667,202055781.666667,185842896.666667,173111498,183248623,182997799.195682,215816354.195682,221382989.195682,192374094.195682,177144013.333333
"sp|O43829|ZBT14_HUMAN",24721714,32562677,40050820,34816750,22379240,15730155,14318905.5,30794990,28666990,34227225,30977660,29457130,24211035,17994570,18994730,20581360,19383440,15108240
"sp|O43852|CALU_HUMAN",23036562,16697582.5,14433603.5,13796156,11942865,12472775.5,7588037.98007764,6319257.5,7632727.48007764,9974552.51992236,8384068.48007764,8450313.48007764,NA,-5293502.51992236,NA,NA,NA,NA
"sp|O43933|PEX1_HUMAN",39704085,34644900,32211081.200643,32160670,30283265,28670845,28525510.5,29558078.799357,27842415,28639640,32138500,30590175,23575046.200643,7417660,NA,18440011.200643,NA,13141591.200643
"sp|O60216|RAD21_HUMAN",94719370,105977760,107688480,102415280,102311120,96341575,94923915.5,97498800,94619330,93252445,96055140,99763000,81402825,77734730,83210990,74768150,81975240,89396030
"sp|O60245|PCDH7_HUMAN",181301615,187226040,180926839,175625845,176089455,176454400,184226095.5,186507985,172554360,176848295,168612305,176095280,164373075,168173820,167929985,162137495,165148075,176166075
"sp|O60264|SMCA5_HUMAN",380598327.283495,369600800.728404,351171856.759803,361765044.834334,351899369.622727,369304790.984667,380980284.199897,384566405.600416,381009711.97547,403450201.916643,462718189.336106,404112957.409226,375116358.63636,346613558.538842,347348562.442173,365019493.63636,352524614.020517,382482885.241664
"sp|O60271|JIP4_HUMAN",42867148.9251434,40095139.0358669,36461946.4544486,37714371.8768791,36349925.5690707,33833558.8696414,31238670.650956,33226715.9421516,32529803.5532876,33354976.5939401,32848663.5329056,32842666.9335938,20802744.7439284,19522600.8626458,21692240.6702964,18240371.7510626,17627497.6444716,16640843.7918323
"sp|O60285|NUAK1_HUMAN",31989200,29942970,30893670,31662500,31734160,28589885,25185935.5,26411740,22442100,23862165,26119700,26750990,14043495,14526360,15775400,11449980,13258650,14554130
"sp|O60292|SI1L3_HUMAN",37670837.3089964,35850829.5,32547615,30564670,29203785,28600500,24716198.1910036,28774382.6910036,25600795,22639625,28120040,24094085,13692765,12773815,11302532.6910036,23504820,11800720,7560165
"sp|O60293|ZC3H1_HUMAN",82627885.3990535,81778559.104416,91554396.7999999,83931113.9204961,88688681.2748829,89582388.205425,82597264.0597037,91448844.2,87557761.4,86470971.6725971,91674841.4,92071530.8168259,75128850.3960782,68490241.7666473,66691223.2616119,63936071.2,71174319.1421985,67759592.5553692
